Shipment_ID,Order_ID,Customer_Name,Source_City,Destination_City,Shipment_Date,Delivery_Date,Transport_Mode,Weight_Kg,Distance_Km,Vendor,Cost,Selling_Price,Delivery_Status,Damage_Flag,Delivery_Time_Days,Return_Reason,Driver_Rating ,Vehicle_Type,Fuel_Consumption_Litres
10001,12270,Aisha,Kolkata,Hyderabad,29-11-2022,10-12-2022,Road,25,100,Unknown,800,1200,In Transit,1,3,Wrong Item,3,Mini Van,30
10002,5860,Unknown,Kolkata,Unknown,02-02-2021,01-02-2022,Road,15,200,Unknown,1500,300,Cancelled,1,2,Late,3,Unknown,30
10003,10390,Unknown,Kolkata,Bangalore,01-05-2023,24-12-2022,Unknown,15,50,Unknown,1500,1200,In Transit,1,8,Late,3,Bike,25
10004,10191,Unknown,Hyderabad,Delhi,01-09-2022,20-09-2022,Sea,30,200,Unknown,800,1200,Delivered,1,1,Late,3,Bike,10
10005,10734,Unknown,Unknown,Bangalore,29-10-2022,11-02-2022,Unknown,5,400,DHL,800,1600,Unknown,1,6,Unknown,4,Unknown,30
10006,11265,Vikram,Chennai,Pune,07-06-2023,16-08-2022,Unknown,20,100,ABC Logistics,1500,1600,Unknown,1,8,Unknown,4,Mini Van,15
10007,5466,Aisha,Mumbai,Unknown,03-01-2023,16-07-2021,Unknown,15,50,Gati,500,1200,Delayed,1,5,Unknown,1,Truck,15
10008,9426,Unknown,Unknown,Unknown,25-01-2022,11-09-2022,Sea,25,200,FedEx,800,2000,Returned,1,9,Unknown,3,Mini Van,20
10009,10578,Ram,Kolkata,Pune,26-08-2022,03-10-2021,Unknown,20,300,FedEx,800,700,In Transit,1,6,Unknown,3,Unknown,20
10010,13322,Unknown,Unknown,Delhi,16-10-2022,16-02-2021,Rail,20,150,DHL,200,1200,Delayed,1,4,Unknown,4,Bike,15
10011,6685,Ram,Bangalore,Mumbai,30-07-2022,21-03-2021,Unknown,20,50,ABC Logistics,800,300,Returned,1,1,Damaged,3,Bike,15
10012,5769,Vikram,Pune,Mumbai,19-07-2021,20-11-2021,Air,5,50,Unknown,1000,1200,Cancelled,1,5,Late,1,Unknown,10
10013,11949,Aisha,Pune,Unknown,17-06-2023,19-05-2022,Sea,15,50,Unknown,800,1200,In Transit,1,7,Late,5,Unknown,30
10014,7433,Aisha,Mumbai,Coimbatore,08-08-2021,03-06-2022,Unknown,20,200,Gati,800,300,Unknown,1,9,Wrong Item,3,Unknown,10
10015,10311,Sita,Mumbai,Unknown,20-01-2023,05-02-2023,Road,20,150,BlueDart,800,2000,In Transit,1,10,Late,4,Mini Van,20
10016,10051,Unknown,Chennai,Unknown,14-12-2022,13-02-2021,Unknown,10,20,Unknown,800,2000,Unknown,1,9,Unknown,3,Truck,20
10017,11420,John,Bangalore,Unknown,18-10-2021,07-05-2023,Rail,20,400,DHL,800,1600,Unknown,1,9,Damaged,3,Mini Van,20
10018,6184,Unknown,Unknown,Unknown,23-06-2021,12-10-2021,Rail,20,150,BlueDart,800,1200,Cancelled,1,6,Wrong Item,3,Unknown,20
10019,9555,Unknown,Unknown,Unknown,25-10-2021,17-06-2021,Air,10,50,FedEx,200,2000,Cancelled,1,2,Unknown,3,Bike,30
10020,8385,Vikram,Coimbatore,Chennai,27-11-2022,13-03-2021,Unknown,20,300,FedEx,1500,700,Delivered,1,5,Unknown,5,Mini Van,25
10021,11396,John,Coimbatore,Delhi,06-07-2021,23-04-2021,Rail,15,300,Unknown,1500,1600,Returned,1,3,Unknown,4,Bike,20
10022,13666,Unknown,Unknown,Bangalore,02-05-2021,25-02-2022,Unknown,20,20,Gati,800,1600,Delayed,1,6,Wrong Item,3,Bike,20
10023,14274,John,Pune,Unknown,23-04-2022,10-02-2021,Unknown,20,100,Gati,1500,1600,Unknown,1,6,Unknown,2,Container,10
10024,7558,Vikram,Unknown,Pune,14-03-2021,08-02-2021,Unknown,20,150,BlueDart,800,300,Unknown,1,6,Unknown,3,Truck,10
10025,12849,Aisha,Unknown,Unknown,24-12-2021,15-10-2022,Rail,30,150,Unknown,800,1200,Cancelled,1,5,Unknown,3,Unknown,25
10026,7047,Vikram,Bangalore,Coimbatore,28-11-2021,07-01-2023,Unknown,20,200,FedEx,1000,1200,Delivered,1,10,Unknown,3,Unknown,20
10027,7747,Unknown,Kolkata,Kolkata,31-03-2022,05-04-2021,Unknown,25,100,Gati,800,300,Returned,1,6,Damaged,3,Truck,25
10028,14167,John,Hyderabad,Unknown,12-10-2022,21-02-2021,Unknown,5,150,Gati,1000,1600,Returned,1,1,Damaged,1,Mini Van,25
10029,14998,Unknown,Kolkata,Kolkata,15-11-2022,04-07-2022,Road,15,200,FedEx,200,700,In Transit,1,10,Unknown,3,Unknown,25
10030,5189,Unknown,Hyderabad,Pune,30-01-2021,29-07-2022,Unknown,20,100,Unknown,800,1200,Delivered,1,10,Damaged,2,Unknown,10
10031,7734,Unknown,Coimbatore,Pune,17-11-2022,12-11-2021,Sea,15,400,FedEx,500,1600,Delivered,1,6,Late,4,Container,20
10032,8005,Unknown,Mumbai,Unknown,23-11-2021,28-01-2022,Unknown,10,150,ABC Logistics,500,2000,In Transit,1,2,Wrong Item,2,Bike,10
10033,9658,Unknown,Unknown,Coimbatore,03-09-2022,19-06-2021,Unknown,20,150,Unknown,800,1200,Unknown,1,6,Damaged,3,Truck,20
10034,6899,Aisha,Kolkata,Chennai,11-11-2022,30-09-2021,Unknown,25,400,Gati,800,1200,Delayed,1,5,Unknown,4,Bike,15
10035,12734,Unknown,Unknown,Mumbai,02-05-2023,06-12-2022,Air,20,150,BlueDart,1500,1200,Unknown,1,6,Late,3,Bike,15
10036,6267,Ram,Bangalore,Pune,23-08-2022,16-02-2022,Sea,20,200,Unknown,500,1200,Cancelled,1,6,Wrong Item,1,Container,20
10037,6528,Vikram,Bangalore,Coimbatore,01-11-2022,03-01-2023,Sea,20,100,DHL,1000,1200,Unknown,1,1,Damaged,3,Unknown,20
10038,8556,Unknown,Pune,Pune,25-04-2022,30-11-2021,Sea,20,150,DHL,200,300,In Transit,1,7,Damaged,3,Unknown,25
10039,8890,Unknown,Bangalore,Hyderabad,24-12-2021,22-02-2022,Rail,10,150,FedEx,1000,300,Cancelled,1,3,Wrong Item,5,Truck,20
10040,13838,Vikram,Bangalore,Mumbai,12-10-2021,15-08-2022,Road,20,20,Unknown,800,1200,Unknown,1,1,Damaged,2,Container,15
10041,10393,Unknown,Mumbai,Pune,12-09-2021,08-07-2022,Road,20,150,Unknown,800,1200,Delivered,1,7,Unknown,3,Bike,20
10042,13792,Unknown,Unknown,Coimbatore,16-08-2021,20-10-2021,Air,25,150,Unknown,1500,1200,Unknown,1,7,Wrong Item,4,Truck,20
10043,13433,Unknown,Coimbatore,Pune,19-12-2022,16-06-2022,Sea,15,150,BlueDart,1500,2000,In Transit,1,10,Wrong Item,2,Unknown,25
10044,12513,Unknown,Bangalore,Kolkata,22-09-2022,13-12-2022,Sea,20,50,ABC Logistics,500,300,Unknown,1,3,Unknown,4,Bike,20
10045,7612,Aisha,Coimbatore,Unknown,05-02-2023,16-03-2021,Unknown,20,20,Gati,800,300,Delayed,1,6,Wrong Item,2,Bike,20
10046,12041,Ram,Mumbai,Unknown,15-10-2021,23-02-2021,Unknown,5,200,ABC Logistics,800,1600,Cancelled,1,4,Unknown,3,Truck,20
10047,14555,Ram,Bangalore,Pune,13-03-2023,08-10-2021,Rail,20,50,Unknown,500,700,Unknown,1,4,Damaged,4,Unknown,20
10048,11235,Unknown,Unknown,Coimbatore,13-11-2022,24-08-2021,Rail,25,20,BlueDart,800,2000,Cancelled,1,9,Unknown,4,Container,20
10049,10486,Unknown,Pune,Kolkata,18-04-2021,09-12-2022,Air,30,150,ABC Logistics,500,1600,Cancelled,1,7,Late,5,Mini Van,10
10050,12099,Aisha,Kolkata,Chennai,21-04-2022,15-02-2022,Road,20,150,FedEx,500,1200,Delivered,1,6,Unknown,1,Unknown,25
10051,14670,Sita,Unknown,Chennai,15-11-2022,26-05-2022,Sea,20,150,DHL,800,700,Unknown,1,6,Wrong Item,2,Bike,10
10052,5775,Vikram,Delhi,Kolkata,16-02-2022,04-08-2022,Unknown,15,200,FedEx,500,1200,Unknown,1,9,Late,3,Unknown,20
10053,13226,Vikram,Chennai,Bangalore,03-04-2022,26-10-2021,Air,25,200,Gati,800,300,Cancelled,1,3,Late,3,Container,15
10054,8152,John,Bangalore,Coimbatore,12-12-2022,26-05-2022,Rail,20,400,FedEx,1500,700,Returned,1,6,Late,5,Container,20
10055,6585,Aisha,Coimbatore,Chennai,03-08-2021,08-08-2021,Rail,5,300,BlueDart,800,300,Unknown,1,4,Late,5,Truck,30
10056,8943,Unknown,Chennai,Bangalore,29-05-2022,24-04-2021,Rail,25,20,Unknown,500,1200,Cancelled,1,9,Unknown,1,Truck,20
10057,12555,Unknown,Hyderabad,Coimbatore,02-03-2021,02-05-2021,Sea,20,100,BlueDart,800,1600,Delivered,1,4,Unknown,3,Truck,30
